paper,title,room,category
1,"Bialgebra cohomology, pointed Hopf algebras, and deformations",Room 7,math.RA
2,"Exploring the Adaptive Behaviors of Particle Lenia: A
  Perturbation-Response Analysis for Computational Agency",Room 1,nlin.AO
3,The typical countable algebra,Room 5,math.RA
4,Structural Change Analysis of Active Cryptocurrency Market,Room 3,q-fin.ST
5,On Some Integrated Approaches to Inference,Room 1,stat.ML
6,"Remote Sensing and Control for Establishing and Maintaining Digital
  Irrigation",Room 2,cs.SY
7,"Stability and Stabilization Analysis of Interval Positive Takagi-Sugeno
  Fuzzy Systems by using Convex Optimization",Room 10,eess.SY
8,"Chaotic synchronizations of spatially extended systems as
  non-equilibrium phase transitions",Room 8,nlin.CD
9,"Remarks on counting negative eigenvalues of Schr\""odinger operator on
  regular metric trees",Room 5,math.SP
10,"Sequential Estimation of Multivariate Factor Stochastic Volatility
  Models",Room 3,econ.EM
11,Manifolds admitting a $\tilde G_2$-structure,Room 7,math.AT
12,Risk-indifference Pricing of American-style Contingent Claims,Room 3,q-fin.PR
13,Extracting synaptic conductances from single membrane potential traces,Room 2,q-bio.NC
14,"Generalized Resemblance Theory of Evidence: a Proposal for
  Precision/Personalized Evidence-Based Medicine",Room 1,q-bio.OT
15,Whither Does the Sun Rove?,Room 11,physics.pop-ph
16,Individual Causal Inference Using Panel Data With Multiple Outcomes,Room 1,econ.EM
17,"Mixed Effect Modelling of Single Trial Variability in Ultra-High Field
  fMRI",Room 1,stat.AP
18,Behavioral On-Line Advertising,Room 4,cs.IR
19,A superhedging approach to stochastic integration,Room 4,q-fin.MF
20,Improving RNN-T ASR Accuracy Using Context Audio,Room 2,eess.AS
21,"Integrable Systems with Unitary Invariance from Non-stretching Geometric
  Curve Flows in the Hermitian Symmetric Space Sp(n)/U(n)",Room 5,nlin.SI
22,"Murphy et al. Reply to the Comment by Kopeikin on ""Gravitomagnetic
  Influence on Gyroscopes and on the Lunar Orbit""",Room 11,gr-qc
23,"Gradient-based stochastic optimization methods in Bayesian experimental
  design",Room 1,stat.CO
24,Solving SPDEs driven by colored noise: a chaos approach,Room 5,math.PR
25,"Locally adaptive spatial smoothing using conditional autoregressive
  models",Room 2,stat.AP
26,"Solving puzzles described in English by automated translation to answer
  set programming and learning how to do that translation",Room 1,cs.CL
27,An individual-based model for biofilm formation at liquid surfaces,Room 6,q-bio.CB
28,"Isotopic dependence of the giant monopole resonance in the even-A
  ^{112-124}Sn isotopes and the asymmetry term in nuclear incompressibility",Room 8,nucl-ex
29,"Eigenvalue Decomposition as a Generalized Synchronization Cluster
  Analysis",Room 12,physics.data-an
30,The Dynamics of Rabinovich system,Room 5,math.DS
31,Reasoning about Bounded Reasoning,Room 4,econ.TH
32,Conjugacy Classes of Centralizers in $G_2$,Room 7,math.GR
33,"Dimensional Analysis in Economics: A Study of the Neoclassical Economic
  Growth Model",Room 3,econ.EM
34,Improving Simulated Annealing through Derandomization,Room 1,stat.CO
35,"A measure of state transition of collective of stateless automata in
  discrete environment",Room 5,cs.FL
36,"Electrical transport and optical band gap of
  NiFe$_\textrm{2}$O$_\textrm{x}$ thin films",Room 8,physics.app-ph
37,Optical characterization of ultra-high diffraction efficiency gratings,Room 11,physics.optics
38,"Initial-boundary value problems for discrete evolution equations:
  discrete linear Schrodinger and integrable discrete nonlinear Schrodinger
  equations",Room 5,nlin.SI
39,"Effects of source and loss terms on the wave-pinning description of cell
  polarisation",Room 6,nlin.PS
40,Analysis of frequent trading effects of various machine learning models,Room 3,q-fin.TR
41,"Effect of interactions on the diffusive expansion of a Bose-Einstein
  condensate in a 3D random potential",Room 8,cond-mat.quant-gas
42,Stiffness Analysis Of Multi-Chain Parallel Robotic Systems,Room 12,cs.RO
43,The geometry of consumer preference aggregation,Room 4,econ.TH
44,Comparative Analysis of Power System Model Reduction,Room 10,eess.SY
45,"Dynamic nested sampling: an improved algorithm for parameter estimation
  and evidence calculation",Room 1,stat.CO
46,"Computation of the canonical form for the matrices of chains and cycles
  of linear mappings",Room 5,math.RT
47,Network Granger Causality with Inherent Grouping Structure,Room 2,stat.ME
48,Predicting Economic Recessions Using Machine Learning Algorithms,Room 2,q-fin.GN
49,"Cross-Domain Adaptation of Spoken Language Identification for Related
  Languages: The Curious Case of Slavic Languages",Room 12,eess.AS
50,"Model independent Breit-Wigner parameters of nucleon resonances
  S11(1535), S11(1650) and P11(1710)",Room 11,nucl-th
51,Staggered Heavy Baryon Chiral Perturbation Theory,Room 12,hep-lat
52,Theory of a Magnetically-Controlled Quantum-Dot Spin Transistor,Room 8,cond-mat.mes-hall
53,"A nested expectation-maximization algorithm for latent class models with
  covariates",Room 1,stat.CO
54,Densely Entangled Financial Systems,Room 3,q-fin.RM
55,"Shaping state and time-dependent convergence rates in non-linear control
  and observer design",Room 12,nlin.CD
56,"Optimizing Binary Code Produced by Valgrind (Project Report on Virtual
  Execution Environments Course - AVExe)",Room 12,cs.PL
57,"Modeling the pulse signal by wave-shape function and analyzing by
  synchrosqueezing transform",Room 2,stat.AP
58,"Spatiotemporal phase synchronization in a large array of convective
  oscillators",Room 8,nlin.CD
59,"Automatic Analysis System of Calcaneus Radiograph: Rotation-Invariant
  Landmark Detection for Calcaneal Angle Measurement, Fracture Identification
  and Fracture Region Segmentation",Room 2,eess.IV
60,Constrained BSDE and Viscosity Solutions of Variation Inequalities,Room 4,math.SG
61,Rent seeking games with tax evasion,Room 3,math.DS
62,"New Extensions of Pairing-based Signatures into Universal (Multi)
  Designated Verifier Signatures",Room 10,cs.CR
63,"Effects of the mean free path and relaxation in a model for the
  aggregation of particles in superfluid media",Room 8,physics.atm-clus
